timestamp,open,high,low,close,volume
2018-03-09,157.4700,159.5825,157.3000,159.3100,4783247
2018-03-08,159.0000,159.5700,155.0700,156.2100,6095521
2018-03-07,155.0000,158.8300,154.7300,158.3200,4607677
2018-03-06,157.2800,157.8900,155.1568,155.7200,3685736
2018-03-05,154.1200,157.4900,153.7500,156.9500,3670630
2018-03-02,152.7900,154.7600,151.8800,154.4900,3261141
2018-03-01,155.5300,156.9742,152.7900,153.8100,4039339
2018-02-28,157.5000,158.1399,155.8000,155.8300,3761597
2018-02-27,158.4600,159.7800,156.5300,156.5500,4192962
2018-02-26,155.8100,158.8800,155.5100,158.5800,3576723
2018-02-23,154.3000,155.8550,154.0700,155.5200,3208908
